date;open;high;low;close
27/12/2017;366.1;409.48;333.0;377.97
28/12/2017;378.0;378.43;333.33;355.05
29/12/2017;355.99;369.0;338.56;351.8
30/12/2017;352.04;352.48;300.0;309.0
31/12/2017;309.03;360.0;306.18;337.0
01/01/2018;334.12;348.3;322.76;345.0
02/01/2018;342.25;373.74;341.45;364.03
03/01/2018;366.99;390.0;360.31;384.55
04/01/2018;384.68;391.79;360.0;375.64
05/01/2018;375.64;388.0;346.0;353.44
06/01/2018;355.82;389.03;351.84;389.03
07/01/2018;389.05;420.0;380.0;395.76
08/01/2018;395.76;405.93;345.67;402.02
09/01/2018;402.0;448.74;395.46;412.46
10/01/2018;412.29;426.0;365.0;408.71
11/01/2018;409.28;412.81;341.41;362.43
13/01/2018;413.84;455.98;306.07;416.29
14/01/2018;416.89;423.0;366.1;398.34
15/01/2018;397.72;441.79;387.85;411.1
16/01/2018;412.5;419.41;258.41;322.35
17/01/2018;322.35;341.39;225.1;321.16
18/01/2018;322.45;353.39;304.11;316.37
19/01/2018;316.1;371.55;311.11;365.71
20/01/2018;368.47;409.74;359.6;384.36
21/01/2018;385.0;415.0;334.7;346.0
22/01/2018;347.11;362.38;285.0;315.0
23/01/2018;313.3;324.99;284.9;309.21
24/01/2018;310.01;323.96;297.63;318.5
25/01/2018;318.81;327.7;305.79;317.25
26/01/2018;316.08;328.88;290.0;322.52
27/01/2018;323.81;331.49;309.1;320.98
28/01/2018;322.23;331.49;320.14;327.47
29/01/2018;327.47;331.49;308.01;314.36
30/01/2018;311.57;313.99;261.93;270.74
31/01/2018;271.0;282.55;260.0;269.6
01/02/2018;269.6;275.0;221.01;239.15
02/02/2018;238.02;248.97;182.0;233.98
03/02/2018;234.5;257.94;212.5;252.37
04/02/2018;250.54;256.02;210.1;216.5
05/02/2018;216.5;220.43;162.41;177.56
06/02/2018;176.53;214.98;147.0;210.0
07/02/2018;210.42;232.85;188.34;205.36
08/02/2018;206.53;254.19;206.53;247.18
09/02/2018;245.97;258.04;231.0;258.03
10/02/2018;258.01;268.3;239.55;246.88
11/02/2018;246.5;246.5;215.1;227.3
12/02/2018;227.82;252.16;227.82;246.5
13/02/2018;246.5;248.26;229.12;232.6
14/02/2018;233.3;275.1;233.13;275.0
15/02/2018;275.0;303.99;262.81;297.0
16/02/2018;295.78;299.04;275.8;293.34
17/02/2018;292.53;331.74;290.0;320.32
18/02/2018;322.0;324.9;287.45;295.87
19/02/2018;294.14;318.5;292.22;312.35
20/02/2018;315.3;319.99;297.56;297.56
21/02/2018;297.6;329.0;280.0;307.28
22/02/2018;305.39;316.95;271.0;273.04
23/02/2018;272.78;294.0;263.04;278.8
24/02/2018;277.88;288.3;257.26;267.18
25/02/2018;265.55;279.0;262.15;276.66
26/02/2018;276.83;299.57;266.31;290.29
27/02/2018;290.36;311.15;284.0;301.42
28/02/2018;299.53;305.5;282.43;284.39
01/03/2018;284.49;314.97;281.17;313.46
02/03/2018;312.56;351.28;306.75;342.4
03/03/2018;342.4;375.0;341.93;349.26
04/03/2018;349.03;370.0;334.04;367.98
05/03/2018;367.13;379.0;354.26;368.12
06/03/2018;371.0;371.7;337.7;342.33
07/03/2018;342.3;362.31;310.8;335.18
08/03/2018;335.15;335.18;272.2;275.0
09/03/2018;275.06;284.72;239.97;284.72
10/03/2018;285.32;293.0;245.04;252.64
11/03/2018;253.25;287.14;242.91;279.48
12/03/2018;280.71;286.0;247.6;256.18
13/03/2018;256.01;265.84;243.7;246.56
14/03/2018;246.79;251.0;202.28;213.13
15/03/2018;213.68;224.74;194.26;210.99
16/03/2018;211.0;223.95;201.5;215.4
17/03/2018;214.16;215.89;191.64;196.26
18/03/2018;194.45;208.29;170.99;207.52
19/03/2018;207.64;222.59;200.54;217.36
20/03/2018;216.45;233.0;205.29;223.0
21/03/2018;223.03;236.24;212.85;216.67
22/03/2018;216.67;223.25;202.06;211.43
23/03/2018;211.51;215.99;196.23;215.0
24/03/2018;214.47;216.39;205.31;206.36
25/03/2018;206.7;213.89;201.55;209.73
26/03/2018;210.15;210.81;187.14;196.6
27/03/2018;196.53;197.13;182.62;186.09
28/03/2018;186.34;201.55;185.33;198.5
29/03/2018;198.68;199.81;172.44;175.11
30/03/2018;174.4;180.9;161.42;171.1
31/03/2018;172.09;180.5;170.06;178.52
01/04/2018;177.35;181.48;163.1;174.1
02/04/2018;174.57;180.5;173.54;176.45
03/04/2018;176.45;190.63;176.44;188.5
04/04/2018;188.52;189.43;167.5;168.38
05/04/2018;169.24;174.04;162.28;172.07
06/04/2018;171.83;174.42;161.11;161.44
07/04/2018;161.13;173.47;161.13;170.17
08/04/2018;170.09;174.84;168.06;174.84
09/04/2018;174.36;179.31;162.75;166.36
10/04/2018;166.06;167.74;163.33;165.29
11/04/2018;165.55;169.83;163.91;168.73
12/04/2018;168.78;193.58;165.38;192.38
13/04/2018;192.54;202.69;185.98;188.83
14/04/2018;187.91;199.35;187.46;190.54
15/04/2018;191.23;205.22;191.23;200.67
16/04/2018;201.95;204.36;188.48;193.43
17/04/2018;194.04;202.94;193.0;195.38
18/04/2018;195.1;233.0;195.1;229.26
19/04/2018;228.97;239.2;225.23;237.08
20/04/2018;238.27;273.63;238.27;273.63
21/04/2018;272.62;273.62;239.23;257.22
22/04/2018;255.8;283.9;249.6;268.51
23/04/2018;268.51;287.33;268.15;283.47
24/04/2018;282.56;298.0;280.09;294.5
25/04/2018;293.46;293.46;247.09;256.07
26/04/2018;256.48;276.07;248.45;268.0
27/04/2018;268.0;268.03;249.65;250.63
28/04/2018;250.8;264.49;249.0;260.43
29/04/2018;260.82;263.6;242.27;256.14
